descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
828.5714285714286	-4.857142857142858	0.0	0.0	0.0	0.0	1.6030892974929636e-46	-2.687908421328967e-41	-6.003972573321134e-46	-1.336008249400023e-44	-3.206178594985927e-46	5.375816842657934e-41	1.2007945146642268e-45	2.672016498800046e-44
828.5714285714286	-5.642857142857142	0.0	0.0	0.0	0.0	1.2136306916407312e-41	-1.196050281620783e-40	-2.0043696581186382e-42	-3.341307300643908e-41	-2.4272613832814623e-41	2.392100563241566e-40	4.0087393162372764e-42	6.682614601287816e-41
828.5714285714286	-6.428571428571429	0.0	0.0	0.0	0.0	4.464966756025757e-40	1.838965623554189e-40	-1.8583853175402825e-40	-1.227174213402631e-39	-8.929933512051515e-40	-3.677931247108378e-40	3.716770635080565e-40	2.454348426805262e-39
828.5714285714286	-7.214285714285714	0.0	0.0	0.0	0.0	6.844920213750094e-40	6.952986300581743e-40	-1.4461869832393472e-39	-1.881161629790102e-39	-1.3689840427500188e-39	-1.3905972601163486e-39	2.8923739664786944e-39	3.762323259580204e-39
828.5714285714286	-8.0	0.0	0.0	0.0	0.0	1.3473837931779893e-40	-4.729689050991177e-40	-2.6693847050500676e-39	-3.702929155140418e-40	-2.6947675863559786e-40	9.459378101982354e-40	5.338769410100135e-39	7.405858310280836e-40
785.7142857142857	3.0	0.0	0.0	0.0	0.0	-6.752652394417292e-48	-7.086116710190985e-48	7.77697359987754e-49	-2.1457026300017566e-48	1.3505304788834584e-47	1.417223342038197e-47	-1.555394719975508e-48	4.291405260003513e-48
785.7142857142857	2.2142857142857135	0.0	0.0	0.0	0.0	-7.487198327760353e-47	-7.856936516785555e-47	8.622205441141082e-48	-2.379109749007963e-47	1.4974396655520707e-46	1.571387303357111e-46	-1.7244410882282164e-47	4.758219498015926e-47
785.7142857142857	1.4285714285714288	0.0	0.0	0.0	0.0	2.586436024927749e-47	-1.4039917528310157e-46	1.540695537151277e-47	-4.251339513245319e-47	-5.172872049855498e-47	2.8079835056620314e-46	-3.081391074302554e-47	8.502679026490638e-47
785.7142857142857	0.6428571428571423	0.0	0.0	0.0	0.0	-1.1893430172187224e-46	-1.5571949500293208e-46	1.7088060128694117e-47	4.078013689605045e-46	2.3786860344374447e-46	3.1143899000586415e-46	-3.4176120257388234e-47	-8.15602737921009e-46
785.7142857142857	-0.14285714285714324	0.0	0.0	0.0	0.0	-1.3348329597621735e-46	-1.5833550520232053e-46	1.7375116014794677e-47	4.1465218769774665e-46	2.669665919524347e-46	3.1667101040464105e-46	-3.4750232029589353e-47	-8.293043753954933e-46
785.7142857142857	-0.9285714285714288	0.0	0.0	0.0	0.0	-1.3512063865296755e-46	8.616314338740861e-44	1.7362904277556812e-47	4.143605501429942e-46	2.702412773059351e-46	-1.7232628677481722e-43	-3.4725808555113623e-47	-8.287211002859884e-46
785.7142857142857	-1.7142857142857144	0.0	0.0	0.0	0.0	-1.325284665388289e-46	8.433492957412414e-44	1.6995638049724138e-47	4.055942628317354e-46	2.650569330776578e-46	-1.6866985914824827e-43	-3.3991276099448277e-47	-8.111885256634708e-46
785.7142857142857	-2.5	0.0	0.0	0.0	0.0	-1.147122032956571e-46	7.30600418452337e-44	1.4708168297731971e-47	3.509962519178103e-46	2.294244065913142e-46	-1.461200836904674e-43	-2.9416336595463943e-47	-7.019925038356207e-46
785.7142857142857	-3.2857142857142856	0.0	0.0	0.0	0.0	-6.56176851003675e-48	4.210432908146995e-45	8.42056815061168e-49	2.009192419533983e-47	1.31235370200735e-47	-8.42086581629399e-45	-1.684113630122336e-48	-4.018384839067966e-47
785.7142857142857	-4.071428571428571	0.0	0.0	0.0	0.0	6.1870321401367755e-46	-4.158992174705154e-43	-7.985283112432571e-47	-1.9036253059095367e-45	-1.2374064280273551e-45	8.317984349410309e-43	1.5970566224865143e-46	3.8072506118190734e-45
785.7142857142857	-4.857142857142858	0.0	0.0	0.0	0.0	3.233576077986443e-45	-2.9715174134651204e-42	-4.359780884312161e-46	-1.0336904431316403e-44	-6.467152155972886e-45	5.943034826930241e-42	8.719561768624322e-46	2.0673808862632805e-44
